MAINTENANCE_ID,START_TIME,END_TIME,PART_TYPE,MAINTENANCE_LOCAL,MAINTENANCE_TYPE,SERVICE_NAME,OBSERVATION,PART_NUMBER,MACHINERY_ID,MACHINERY_HOURMETER,OPERATION,REPAIR_TIME,START_YEAR,START_MONTH,START_DATE_CONCAT,TIME_SINCE_LAST_REPAIR
79842,2020-03-26 00:00:00,2020-03-26 00:00:00,SERVIÇO DE MÃO DE OBRA,Industria Cáceres - Serraria,Corretiva,SERVICE WITHOUT PARTS,,1.0,CF 03,171341,Carga,0.0,2020,3,2020-3,
79931,2020-04-06 00:00:00,2020-04-06 00:00:00,OLEO 68,Industria Cáceres - Serraria,Corretiva,SERVICE WITHOUT PARTS,,1.0,CF 03,171583,Carga,0.0,2020,4,2020-4,242.0
79931,2020-04-06 00:00:00,2020-04-06 00:00:00,MANGUEIRA / TERMINAL / CAPA,Industria Cáceres - Serraria,Corretiva,SERVICE WITHOUT PARTS,,1.0,CF 03,171583,Carga,0.0,2020,4,2020-4,0.0
80996,2020-07-28 00:00:00,2020-07-28 00:00:00,MOTOR DE PARTIDA,Industria Cáceres - Serraria,Corretiva,SERVICE WITHOUT PARTS,,1.0,CF 03,174063,Carga,0.0,2020,7,2020-7,2480.0
79420,2020-01-28 15:30:00,2020-01-28 16:40:00,PNEUS E CAMARAS,Capim Branco,Corretiva,CAMARA DE AR DIVERSOS,Pneu Furado,1.0,CF 05,11065,Carga,1.0,2020,1,2020-1,
79424,2020-01-31 15:00:00,2020-01-31 15:30:00,DIVERSOS,Capim Branco,Preventiva,BATERIAS DIVERSAS,Desgaste,1.0,CF 05,11065,Carga,0.0,2020,1,2020-1,0.0
79424,2020-01-31 15:00:00,2020-01-31 15:30:00,PEÇAS HV JD,Capim Branco,Preventiva,ABRAÇADEIRA HV JD,Desgaste,1.0,CF 05,11065,Carga,0.0,2020,1,2020-1,0.0
79424,2020-01-31 15:00:00,2020-01-31 15:30:00,PEÇAS VALTRA,Capim Branco,Preventiva,BOMBA ALIMENTADORA VALTRA,Desgaste,1.0,CF 05,11065,Carga,0.0,2020,1,2020-1,0.0
79738,2020-03-05 10:40:00,2020-03-05 16:00:00,PEÇAS VALTRA,Capim Branco,Corretiva,RETENTOR DIVERSOS VALTRA,Reparo do cilindro  com vazamentos desgaste natural e troca da mangueira por ter pegado na quina do container do caminhão ,1.0,CF 05,11132,Carga,5.0,2020,3,2020-3,67.0
79738,2020-03-05 10:40:00,2020-03-05 16:00:00,TERMINAL HIDRAULICO,Capim Branco,Corretiva,TERMINAL P/ MANGUEIRA DE 1/2'',Reparo do cilindro  com vazamentos desgaste natural e troca da mangueira por ter pegado na quina do container do caminhão ,2.0,CF 05,11132,Carga,5.0,2020,3,2020-3,0.0
79738,2020-03-05 10:40:00,2020-03-05 16:00:00,MANGUEIRA HIDRÁULICA,Capim Branco,Corretiva,"MANGUEIRA 1/2""",Reparo do cilindro  com vazamentos desgaste natural e troca da mangueira por ter pegado na quina do container do caminhão ,2.0,CF 05,11132,Carga,5.0,2020,3,2020-3,0.0
79955,2020-05-11 10:00:00,2020-05-11 11:30:00,MANGUEIRA HIDRÁULICA,Capim Branco,Corretiva,"MANGUEIRA 1/2""",Estourou a mangueira rotator por ficar de atrito com outra mangueira ,1.2,CF 05,11196,Carga,1.0,2020,5,2020-5,64.0
79955,2020-05-11 10:00:00,2020-05-11 11:30:00,TERMINAL HIDRAULICO,Capim Branco,Corretiva,TERMINAL P/ MANGUEIRA DE 1/2'',Estourou a mangueira rotator por ficar de atrito com outra mangueira ,2.0,CF 05,11196,Carga,1.0,2020,5,2020-5,0.0
81529,2020-09-03 13:40:00,2020-09-03 14:30:00,PEÇAS VALTRA,,Preventiva,CHAVE DE CONTATO VALTRA,Travou o miolo da chave de ignição ,1.0,CF 05,11212,Carga,0.0,2020,9,2020-9,16.0
81561,2020-09-24 13:00:00,2020-09-24 17:20:00,PNEUS E CAMARAS,,Corretiva,CAMARA DE AR DIVERSOS,Troca do pneu do trator dianteiro e uma Câmara ,1.0,CF 05,11229,Carga,4.0,2020,9,2020-9,17.0
81561,2020-09-24 13:00:00,2020-09-24 17:20:00,PNEUS E CAMARAS,,Corretiva,PNEUS DIVERSOS,Troca do pneu do trator dianteiro e uma Câmara ,1.0,CF 05,11229,Carga,4.0,2020,9,2020-9,0.0
81562,2020-10-14 08:00:00,2020-11-15 09:00:00,PEÇAS TMO,,Corretiva,REGISTRO DE ESFERA,Estourou a mangueira do comando e foi feito solda na garra e troca do registro ,1.0,CF 05,11256,Carga,769.0,2020,10,2020-10,27.0
81562,2020-10-14 08:00:00,2020-11-15 09:00:00,TERMINAL HIDRAULICO,,Corretiva,TERMINAL P/ MANGUEIRA DE 1'',Estourou a mangueira do comando e foi feito solda na garra e troca do registro ,2.0,CF 05,11256,Carga,769.0,2020,10,2020-10,0.0
81562,2020-10-14 08:00:00,2020-11-15 09:00:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 1""",Estourou a mangueira do comando e foi feito solda na garra e troca do registro ,2.5,CF 05,11256,Carga,769.0,2020,10,2020-10,0.0
81562,2020-10-14 08:00:00,2020-11-15 09:00:00,ELETRODOS,,Corretiva,ELETRODO 7018 X 3.25MM,Estourou a mangueira do comando e foi feito solda na garra e troca do registro ,15.0,CF 05,11256,Carga,769.0,2020,10,2020-10,0.0
81562,2020-10-14 08:00:00,2020-11-15 09:00:00,ELETRODOS,,Corretiva,ELETRODO CORTE CHANFRO 3.25MM,Estourou a mangueira do comando e foi feito solda na garra e troca do registro ,50.0,CF 05,11256,Carga,769.0,2020,10,2020-10,0.0
81042,2020-08-20 08:00:00,2020-08-20 10:30:00,PEÇAS TMO,,Corretiva,PINOS DIVERSOS TMO,Tempo de uso,1.0,CF 05,13282,Carga,2.0,2020,8,2020-8,2026.0
81044,2020-08-24 13:30:00,2020-08-24 13:50:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 1/2""",Bateu na proteção do malhal,1.8,CF 06,1328,Carga,0.0,2020,8,2020-8,
81044,2020-08-24 13:30:00,2020-08-24 13:50:00,TERMINAL HIDRAULICO,,Corretiva,TERMINAL P/ MANGUEIRA DE 1/2'',Bateu na proteção do malhal,2.0,CF 06,1328,Carga,0.0,2020,8,2020-8,0.0
81063,2020-09-03 08:30:00,2020-09-03 11:30:00,MANUAL REPAIR,,Corretiva,SERVICE WITHOUT PARTS,Câmara furada ,1.0,CF 06,1330,Carga,3.0,2020,9,2020-9,2.0
81734,2020-12-15 13:39:00,2020-12-15 13:43:00,MANUAL REPAIR,,Preventiva,SERVICE WITHOUT PARTS,Dvfy,1.0,CF 06,8855,Carga,0.0,2020,12,2020-12,7525.0
81844,2021-01-12 15:50:00,2021-01-12 18:30:00,DIVERSOS,,Corretiva,MONTAGENS E DESMONTAGENS,Troca do comando,1.0,CF 06,11407,Carga,2.0,2021,1,2021-1,2552.0
79194,2020-01-06 07:10:00,2020-01-06 14:35:00,DIVERSOS,Santa Lucia,Corretiva,MÃO DE OBRA EM GERAL,mão de obra montar camisa,1.0,CF 06,13035,Carga,7.0,2020,1,2020-1,1628.0
79444,2020-01-14 15:00:00,2020-01-14 15:30:00,TERMINAL HIDRAULICO,Santa Maria do Jauru,Corretiva,TERMINAL FJ 10-8 RETO,Pancada ,2.0,CF 06,13066,Carga,0.0,2020,1,2020-1,31.0
79444,2020-01-14 15:00:00,2020-01-14 15:30:00,TERMINAL HIDRAULICO,Santa Maria do Jauru,Corretiva,TERMINAL FJ 10-8 45°,Pancada ,2.0,CF 06,13066,Carga,0.0,2020,1,2020-1,0.0
79444,2020-01-14 15:00:00,2020-01-14 15:30:00,MANGUEIRA HIDRÁULICA,Santa Maria do Jauru,Corretiva,"MANGUEIRA 1/2""",Pancada ,3.6,CF 06,13066,Carga,0.0,2020,1,2020-1,0.0
79191,2020-01-28 15:00:00,2020-01-28 17:30:00,ELETRODOS,Cacimba,Corretiva,"ELETRODO CROMO NIQUEL 2,5MM",batida no fueiro do caminhão  ,1.0,CF 06,13095,Carga,2.0,2020,1,2020-1,29.0
79191,2020-01-28 15:00:00,2020-01-28 17:30:00,MANGUEIRA HIDRÁULICA,Cacimba,Corretiva,"MANGUEIRA 1/2""",batida no fueiro do caminhão  ,4.6,CF 06,13095,Carga,2.0,2020,1,2020-1,0.0
79191,2020-01-28 15:00:00,2020-01-28 17:30:00,TERMINAL HIDRAULICO,Cacimba,Corretiva,TERMINAL P/ MANGUEIRA DE 1/2'',batida no fueiro do caminhão  ,8.0,CF 06,13095,Carga,2.0,2020,1,2020-1,0.0
79800,2020-03-09 19:00:00,2020-03-09 19:45:00,PEÇAS HV JD,Santa Maria do Jauru,Corretiva,NIPE DIVERSOS,Nipe quebrado rosca por batidas ,1.0,CF 06,13204,Carga,0.0,2020,3,2020-3,109.0
79881,2020-03-17 17:30:00,2020-03-17 18:00:00,TERMINAL HIDRAULICO,Santa Maria do Jauru,Corretiva,TERMINAL P/ MANGUEIRA DE 1/2'',Batida na pilha de tora ,2.0,CF 06,13214,Carga,0.0,2020,3,2020-3,10.0
79881,2020-03-17 17:30:00,2020-03-17 18:00:00,MANGUEIRA HIDRÁULICA,Santa Maria do Jauru,Corretiva,"MANGUEIRA 1/2""",Batida na pilha de tora ,1.8,CF 06,13214,Carga,0.0,2020,3,2020-3,0.0
79879,2020-03-19 10:40:00,2020-03-19 11:00:00,TERMINAL HIDRAULICO,Santa Maria do Jauru,Corretiva,TERMINAL P/ MANGUEIRA DE 1/2'',Batidas no contêiner ,2.0,CF 06,13219,Carga,0.0,2020,3,2020-3,5.0
79879,2020-03-19 10:40:00,2020-03-19 11:00:00,MANGUEIRA HIDRÁULICA,Santa Maria do Jauru,Corretiva,"MANGUEIRA 1/2""",Batidas no contêiner ,1.1,CF 06,13219,Carga,0.0,2020,3,2020-3,0.0
79877,2020-03-23 08:00:00,2020-03-23 08:20:00,DIVERSOS,Cacimba,Preventiva,MÃO DE OBRA EM GERAL,Reaperto de nipe ,1.0,CF 06,13234,Carga,0.0,2020,3,2020-3,15.0
79959,2020-05-19 14:00:00,2020-05-19 17:00:00,PORCAS,Cacimba,Corretiva,PORCAS DIVERSAS,Batida no fueiro do caminhão ,1.0,CF 06,13242,Carga,3.0,2020,5,2020-5,8.0
79959,2020-05-19 14:00:00,2020-05-19 17:00:00,PEÇAS TMO,Cacimba,Corretiva,ADAPTADOR HIDRAULICO TMO,Batida no fueiro do caminhão ,1.0,CF 06,13242,Carga,3.0,2020,5,2020-5,0.0
79959,2020-05-19 14:00:00,2020-05-19 17:00:00,PARAFUSO,Cacimba,Corretiva,PARAFUSOS DIVERSOS,Batida no fueiro do caminhão ,1.0,CF 06,13242,Carga,3.0,2020,5,2020-5,0.0
79967,2020-05-27 15:00:00,2020-05-28 15:30:00,PEÇAS TMO,Cacimba,Corretiva,VEDAÇÃO DIVERSOS TMO,Cilindro com vazamento interno (Vedação ressecada  ,1.0,CF 06,13253,Carga,24.0,2020,5,2020-5,11.0
81016,2020-08-13 09:10:00,2020-08-13 17:20:00,PORCAS,,Corretiva,PORCAS DIVERSAS,Banco podre,4.0,CF 06,13259,Carga,8.0,2020,8,2020-8,6.0
81016,2020-08-13 09:10:00,2020-08-13 17:20:00,ELETRODOS,,Corretiva,"ELETRODO 6013 X 3,25MM",Banco podre,5.0,CF 06,13259,Carga,8.0,2020,8,2020-8,0.0
81016,2020-08-13 09:10:00,2020-08-13 17:20:00,PARAFUSO,,Corretiva,PARAFUSOS DIVERSOS,Banco podre,4.0,CF 06,13259,Carga,8.0,2020,8,2020-8,0.0
81107,2020-09-16 08:30:00,2020-09-16 10:10:00,TERMINAL HIDRAULICO,,Corretiva,TERMINAL P/ MANGUEIRA DE 1'',Tempo de uso,2.0,CF 06,13325,Carga,1.0,2020,9,2020-9,66.0
81080,2020-09-10 08:00:00,2020-09-10 09:00:00,MANUAL REPAIR,,Corretiva,SERVICE WITHOUT PARTS,Tempo de uso,1.0,CF 06,13325,Carga,1.0,2020,9,2020-9,0.0
81107,2020-09-16 08:30:00,2020-09-16 10:10:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 1""",Tempo de uso,0.9,CF 06,13325,Carga,1.0,2020,9,2020-9,0.0
81204,2020-10-01 17:00:00,2020-10-01 18:00:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 1/2""",Manguera rececada ,1.2,CF 06,13337,Carga,1.0,2020,10,2020-10,12.0
81204,2020-10-01 17:00:00,2020-10-01 18:00:00,TERMINAL HIDRAULICO,,Corretiva,TERMINAL P/ MANGUEIRA DE 1/2'',Manguera rececada ,2.0,CF 06,13337,Carga,1.0,2020,10,2020-10,0.0
81343,2020-10-14 13:40:00,2020-10-14 16:20:00,MANUAL REPAIR,,Corretiva,SERVICE WITHOUT PARTS,Camera furada,1.0,CF 06,13360,Carga,2.0,2020,10,2020-10,23.0
81927,2021-02-01 10:00:00,2021-02-04 10:30:00,PEÇAS VALTRA,,Corretiva,KIT DE VEDAÇÃO DIVERSOS TMO,"troca de embreagem . Feito o acionador de liga e desliga bomba hidraulica , solda no escape , e troca de reparo do cilindro telescopio ",1.0,CF 06,13512,Carga,72.0,2021,2,2021-2,152.0
81927,2021-02-01 10:00:00,2021-02-04 10:30:00,ELETRODOS,,Corretiva,"ELETRODO 6013 X 3,25MM","troca de embreagem . Feito o acionador de liga e desliga bomba hidraulica , solda no escape , e troca de reparo do cilindro telescopio ",6.0,CF 06,13512,Carga,72.0,2021,2,2021-2,0.0
82126,2021-02-24 15:00:00,2021-02-24 17:00:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 1/2""",Mangueira do rotator estorada,1.3,CF 06,13537,Carga,2.0,2021,2,2021-2,25.0
82126,2021-02-24 15:00:00,2021-02-24 17:00:00,TERMINAL HIDRAULICO,,Corretiva,TERMINAL P/ MANGUEIRA DE 1/2'',Mangueira do rotator estorada,2.0,CF 06,13537,Carga,2.0,2021,2,2021-2,0.0
82514,2021-04-07 15:00:00,2021-04-07 15:30:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 1/2""",Tempode uso mangueira resecada ,0.7,CF 06,13599,Carga,0.0,2021,4,2021-4,62.0
82514,2021-04-07 15:00:00,2021-04-07 15:30:00,TERMINAL HIDRAULICO,,Corretiva,TERMINAL P/ MANGUEIRA DE 1/2'',Tempode uso mangueira resecada ,2.0,CF 06,13599,Carga,0.0,2021,4,2021-4,0.0
81841,2021-01-12 16:00:00,2021-01-12 18:30:00,MANGUEIRA HIDRÁULICA,,Preventiva,"MANGUEIRA 3/8""",Batida nateca ,2.0,CF 06,134775,Carga,2.0,2021,1,2021-1,121176.0
81841,2021-01-12 16:00:00,2021-01-12 18:30:00,TERMINAL HIDRAULICO,,Preventiva,TERMINAL P/ MANGUEIRA DE 3/8'',Batida nateca ,2.0,CF 06,134775,Carga,2.0,2021,1,2021-1,0.0
79451,2020-01-07 14:00:00,2020-01-07 15:40:00,PNEUS E CAMARAS,Santa Maria do Jauru,Corretiva,CAMARA DE AR DIVERSOS,Causa Natural,1.0,CF 07,1558,Carga,1.0,2020,1,2020-1,
79466,2020-01-17 09:30:00,2020-01-17 16:00:00,TERMINAL HIDRAULICO,Santa Maria do Jauru,Preventiva,TERMINAL FJ 10-8 RETO,Tempo de uso,8.0,CF 07,1574,Carga,6.0,2020,1,2020-1,16.0
79466,2020-01-17 09:30:00,2020-01-17 16:00:00,PORCAS,Santa Maria do Jauru,Preventiva,PORCAS DIVERSAS,Tempo de uso,6.0,CF 07,1574,Carga,6.0,2020,1,2020-1,0.0
79466,2020-01-17 09:30:00,2020-01-17 16:00:00,MANGUEIRA HIDRÁULICA,Santa Maria do Jauru,Preventiva,"MANGUEIRA 1/2""",Tempo de uso,5.2,CF 07,1574,Carga,6.0,2020,1,2020-1,0.0
79466,2020-01-17 09:30:00,2020-01-17 16:00:00,PEÇAS KOMATSU,Santa Maria do Jauru,Preventiva,ARRUELAS KOMATSU,Tempo de uso,2.0,CF 07,1574,Carga,6.0,2020,1,2020-1,0.0
79466,2020-01-17 09:30:00,2020-01-17 16:00:00,PARAFUSO,Santa Maria do Jauru,Preventiva,PARAFUSOS DIVERSOS,Tempo de uso,6.0,CF 07,1574,Carga,6.0,2020,1,2020-1,0.0
79437,2020-01-17 09:30:00,2020-01-18 15:00:00,TERMINAL HIDRAULICO,Santa Maria do Jauru,Preventiva,TERMINAL FJ 10-8 RETO,Tempo de uso,1.0,CF 07,1582,Carga,29.0,2020,1,2020-1,8.0
79437,2020-01-17 09:30:00,2020-01-18 15:00:00,PORCAS,Santa Maria do Jauru,Preventiva,PORCAS DIVERSAS,Tempo de uso,6.0,CF 07,1582,Carga,29.0,2020,1,2020-1,0.0
79437,2020-01-17 09:30:00,2020-01-18 15:00:00,PEÇAS KOMATSU,Santa Maria do Jauru,Preventiva,ARRUELAS KOMATSU,Tempo de uso,2.0,CF 07,1582,Carga,29.0,2020,1,2020-1,0.0
79440,2020-01-18 08:00:00,2020-01-18 15:00:00,DIVERSOS,Santa Maria do Jauru,Preventiva,MÃO DE OBRA EM GERAL,"Tempo de uso, refutar a garra",1.0,CF 07,1582,Carga,7.0,2020,1,2020-1,0.0
79439,2020-01-18 15:00:00,2020-01-18 16:30:00,PEÇAS TMO,Santa Maria do Jauru,Preventiva,ROTATOR TMO,Tempo de uso,1.0,CF 07,1582,Carga,1.0,2020,1,2020-1,0.0
79437,2020-01-17 09:30:00,2020-01-18 15:00:00,PARAFUSO,Santa Maria do Jauru,Preventiva,PARAFUSOS DIVERSOS,Tempo de uso,6.0,CF 07,1582,Carga,29.0,2020,1,2020-1,0.0
79437,2020-01-17 09:30:00,2020-01-18 15:00:00,PEÇAS TMO,Santa Maria do Jauru,Preventiva,ROTATOR TMO,Tempo de uso,1.0,CF 07,1582,Carga,29.0,2020,1,2020-1,0.0
79437,2020-01-17 09:30:00,2020-01-18 15:00:00,MANGUEIRA HIDRÁULICA,Santa Maria do Jauru,Preventiva,"MANGUEIRA 1/2""",Tempo de uso,4.0,CF 07,1582,Carga,29.0,2020,1,2020-1,0.0
79178,2020-01-27 14:00:00,2020-01-27 16:00:00,TERMINAL HIDRAULICO,Cacimba,Preventiva,TERMINAL P/ MANGUEIRA DE 1'',batida na tora,2.0,CF 07,1592,Carga,2.0,2020,1,2020-1,10.0
79178,2020-01-27 14:00:00,2020-01-27 16:00:00,MANGUEIRA HIDRÁULICA,Cacimba,Preventiva,"MANGUEIRA 1""",batida na tora,1.0,CF 07,1592,Carga,2.0,2020,1,2020-1,0.0
79183,2020-01-28 14:30:00,2020-01-28 15:30:00,TERMINAL HIDRAULICO,Cacimba,Corretiva,TERMINAL P/ MANGUEIRA DE 1'',"fim de vida,soltando borracha",2.0,CF 07,1593,Carga,1.0,2020,1,2020-1,1.0
79183,2020-01-28 14:30:00,2020-01-28 15:30:00,MANGUEIRA HIDRÁULICA,Cacimba,Corretiva,"MANGUEIRA 1""","fim de vida,soltando borracha",1.1,CF 07,1593,Carga,1.0,2020,1,2020-1,0.0
79181,2020-01-28 08:50:00,2020-01-28 09:00:00,DIVERSOS,Cacimba,Preventiva,CINTO DE SEGURANÇA,cinto não funciona adequadamente,1.0,CF 07,1594,Carga,0.0,2020,1,2020-1,1.0
79578,2020-02-10 10:30:00,2020-02-10 10:45:00,DIVERSOS,Cacimba,Preventiva,FUSIVEL DIVERSOS,Desgaste,1.0,CF 07,1618,Carga,0.0,2020,2,2020-2,24.0
79635,2020-02-13 08:40:00,2020-02-13 10:30:00,DIVERSOS,Cacimba,Preventiva,MÃO DE OBRA EM GERAL,troca da camisa do giro por tempo de uso,1.0,CF 07,1628,Carga,1.0,2020,2,2020-2,10.0
79603,2020-02-18 07:40:00,2020-02-18 13:00:00,ELETRODOS,Cacimba,Preventiva,"ELETRODO 6013 X 3,25MM",Batida em toco alto,10.0,CF 07,1635,Carga,5.0,2020,2,2020-2,7.0
79600,2020-02-18 12:30:00,2020-02-19 13:00:00,TERMINAL HIDRAULICO,Cacimba,Preventiva,TERMINAL FJ 10-8 RETO,Batida na tora,2.0,CF 07,1637,Carga,24.0,2020,2,2020-2,2.0
79600,2020-02-18 12:30:00,2020-02-19 13:00:00,PARAFUSO,Cacimba,Preventiva,PARAFUSOS DIVERSOS,Batida na tora,1.0,CF 07,1637,Carga,24.0,2020,2,2020-2,0.0
79600,2020-02-18 12:30:00,2020-02-19 13:00:00,MANGUEIRA HIDRÁULICA,Cacimba,Preventiva,"MANGUEIRA 1/2""",Batida na tora,1.0,CF 07,1637,Carga,24.0,2020,2,2020-2,0.0
79607,2020-02-20 09:40:00,2020-02-20 09:50:00,TERMINAL HIDRAULICO,Cacimba,Preventiva,TERMINAL FJ 10-8 RETO,BATEU NA TAMPA DO CONTEINER,1.0,CF 07,1640,Carga,0.0,2020,2,2020-2,3.0
79607,2020-02-20 09:40:00,2020-02-20 09:50:00,TERMINAL HIDRAULICO,Cacimba,Preventiva,TERMINAL FJ 10-8 45°,BATEU NA TAMPA DO CONTEINER,1.0,CF 07,1640,Carga,0.0,2020,2,2020-2,0.0
79607,2020-02-20 09:40:00,2020-02-20 09:50:00,MANGUEIRA HIDRÁULICA,Cacimba,Preventiva,"MANGUEIRA 1/2""",BATEU NA TAMPA DO CONTEINER,1.1,CF 07,1640,Carga,0.0,2020,2,2020-2,0.0
79381,2020-03-05 10:00:00,2020-03-05 10:30:00,TERMINAL HIDRAULICO,Cacimba,Preventiva,TERMINAL FJ 10-8 RETO,Tempo de uso ,2.0,CF 07,1641,Carga,0.0,2020,3,2020-3,1.0
79381,2020-03-05 10:00:00,2020-03-05 10:30:00,MANGUEIRA HIDRÁULICA,Cacimba,Preventiva,"MANGUEIRA 1/2""",Tempo de uso ,1.1,CF 07,1641,Carga,0.0,2020,3,2020-3,0.0
79381,2020-03-05 10:00:00,2020-03-05 10:30:00,PEÇAS HV JD,Cacimba,Preventiva,CORREIA DO ALTERNADOR HV JD,Tempo de uso ,2.0,CF 07,1641,Carga,0.0,2020,3,2020-3,0.0
79966,2020-03-30 08:00:00,2020-05-26 18:00:00,DIVERSOS,Santa Maria do Jauru,Corretiva,MÃO DE OBRA EM GERAL,Cilindro retirado pra usar em outro equipamento (Cilindro em conserto),1.0,CF 07,1694,Carga,1378.0,2020,3,2020-3,53.0
79990,2020-06-03 11:30:00,2020-06-03 12:00:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 3/8""",Desgaste esforço ,0.4,CF 07,1696,Carga,0.0,2020,6,2020-6,2.0
80992,2020-06-03 11:30:00,2020-06-03 17:00:00,MANGUEIRA HIDRÁULICA,,Corretiva,"MANGUEIRA 3/8""",Desgaste esforço ,0.4,CF 07,1696,Carga,5.0,2020,6,2020-6,0.0
79990,2020-06-03 11:30:00,2020-06-03 12:00:00,ELETRODOS,,Corretiva,ELETRODO 7018  3.25MM,Desgaste esforço ,10.0,CF 07,1696,Carga,0.0,2020,6,2020-6,0.0
